MagX, MagY, MagZ, AccX, AccY, AccZ, GyroR, GyroP, GyroY
335,-146,585,1,2,353,-515,-534,-529
336,-148,588,1,2,353,-516,-534,-529
337,-151,585,1,2,353,-515,-533,-529
337,-159,588,1,2,353,-515,-533,-529
334,-148,585,1,2,353,-516,-534,-529
335,-150,585,1,2,353,-516,-534,-530
334,-152,587,1,2,353,-515,-534,-529
336,-147,586,1,2,353,-515,-534,-529
337,-153,588,1,2,352,-515,-534,-529
336,-155,586,1,2,352,-516,-534,-530
337,-154,586,1,2,352,-515,-534,-530
336,-159,587,1,1,353,-515,-533,-529
334,-154,587,1,1,354,-516,-534,-529
338,-154,585,1,2,353,-516,-534,-529
337,-146,586,1,2,353,-516,-534,-530
338,-149,587,1,2,353,-515,-534,-530
340,-150,585,1,2,353,-515,-535,-529
338,-148,587,1,2,353,-515,-534,-530
342,-155,585,1,2,353,-515,-534,-529
335,-150,587,1,2,353,-515,-534,-529
336,-151,587,1,2,353,-516,-534,-530
337,-145,586,1,2,352,-516,-534,-529
337,-145,586,1,2,352,-516,-534,-530
338,-156,586,1,2,353,-516,-534,-530
336,-148,587,1,2,353,-516,-534,-529
337,-150,586,1,2,354,-516,-534,-530
337,-146,588,1,1,354,-516,-535,-530
341,-152,587,1,1,354,-516,-534,-529
337,-148,587,1,1,354,-516,-534,-529
338,-147,587,2,1,354,-515,-534,-529
340,-150,586,2,1,353,-515,-534,-530
338,-149,588,2,2,353,-516,-534,-529
340,-152,586,1,2,354,-516,-534,-529
338,-154,587,1,2,353,-516,-534,-529
337,-153,586,1,3,353,-516,-533,-530
338,-143,586,1,3,353,-515,-534,-529
337,-152,585,1,2,353,-516,-534,-529
337,-151,587,1,2,354,-516,-534,-529
337,-149,588,1,2,353,-516,-534,-529
344,-152,588,1,1,354,-516,-534,-529
342,-147,588,1,1,354,-516,-534,-530
338,-151,588,1,1,354,-516,-534,-530
337,-152,589,1,2,353,-516,-534,-529
340,-149,586,1,2,353,-516,-534,-530
339,-144,587,1,2,353,-515,-534,-530
337,-150,587,1,2,353,-515,-534,-529
337,-155,587,1,2,353,-515,-534,-530
338,-143,586,1,1,353,-515,-534,-529
337,-146,588,1,1,354,-515,-535,-529
339,-147,586,1,1,354,-515,-534,-529
339,-146,587,1,1,354,-516,-534,-529
339,-146,589,2,2,353,-516,-534,-529
340,-149,587,1,2,354,-516,-535,-530
341,-144,588,1,2,353,-515,-533,-530
337,-145,587,1,3,353,-516,-534,-530
341,-145,589,1,2,354,-516,-534,-529
338,-142,588,1,2,354,-515,-534,-529
338,-149,588,1,2,355,-515,-534,-530
341,-149,587,1,1,354,-516,-534,-530
