date,temperaturemin,temperaturemax,precipitation,snowfall,snowdepth,avgwindspeed,fastest2minwinddir,fastest2minwindspeed,fastest5secwinddir,fastest5secwindspeed,fog,fogheavy,mist,rain,fogground,ice,glaze,drizzle,snow,freezingrain,smokehaze,thunder,highwind,hail,blowingsnow,dust,freezingfog
1/19/2007,34,54,0,0,0,6.93,270,17,260,23.04,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
1/21/2007,28,35.1,0.8,0,0,5.82,90,12.97,90,17,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No
1/25/2007,30.9,46.9,0,0,0,6.49,290,19.91,310,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/27/2007,32,64,0,0,0,11.41,230,19.91,230,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2/5/2007,19.9,39.9,0,0,0,7.83,270,17.9,280,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3/4/2007,34,50,0,0,0,6.93,280,17,280,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3/17/2007,33.1,48.9,0,0,0,7.38,330,19.91,330,29.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3/18/2007,28,48.9,0,0,0,4.25,240,14.09,350,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4/5/2007,41,57.9,0,0,0,3.58,310,14.99,320,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4/6/2007,30,57,0.01,0,0,2.46,360,16.11,290,25.95,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
4/17/2007,46.9,72,0,0,0,7.61,360,19.91,320,29.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4/29/2007,53.1,80.1,0,0,0,6.49,300,17.9,290,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5/2/2007,63,90,0,0,0,8.72,230,14.99,230,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5/16/2007,62.1,84,0.02,0,0,13.87,230,23.94,230,29.08,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
5/18/2007,48.9,70,0,0,0,7.83,30,16.11,40,21.92,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
6/27/2007,69.1,93,0,0,0,7.38,230,21.03,220,23.94,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
7/1/2007,66,86,0,0,0,6.93,30,17,70,21.92,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7/4/2007,64.9,89.1,0,0,0,9.17,200,16.11,210,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7/15/2007,66.9,90,0,0,0,7.38,230,14.99,230,17.9,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
7/16/2007,70,91.9,0,0,0,8.05,230,16.11,210,19.91,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
7/29/2007,66.9,89.1,0,0,0,4.25,160,16.11,150,19.91,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
8/9/2007,78.1,104,0,0,0,4.25,120,23.04,90,25.95,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
8/20/2007,75,102.9,0,0,0,10.51,230,19.91,230,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8/26/2007,72,98.1,0.06,0,0,6.04,10,21.03,10,29.97,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
8/29/2007,73,93,0,0,0,6.49,100,12.08,150,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9/3/2007,59,91,0,0,0,3.36,90,10.07,130,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9/5/2007,66,96.1,0,0,0,4.25,170,10.07,170,17.9,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
9/9/2007,60.1,95,0,0,0,3.58,20,12.08,10,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9/15/2007,61,82,0,0,0,5.59,50,16.11,360,21.92,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
9/23/2007,66,91.9,0,0,0,4.47,110,12.97,80,17,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
9/24/2007,64.9,86,0,0,0,5.59,50,12.08,50,14.99,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
9/26/2007,63,89.1,0,0,0,5.82,170,12.08,170,14.99,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10/9/2007,66,93.9,0,0,0,4.7,270,10.07,300,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10/18/2007,63,84.9,0.04,0,0,5.14,230,12.97,170,16.11,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
10/31/2007,37.9,73.9,0,0,0,1.79,140,8.95,170,14.99,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11/3/2007,39.9,66,0,0,0,5.37,20,14.99,20,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11/7/2007,30,55,0,0,0,3.8,40,12.97,20,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11/9/2007,34,61,0,0,0,4.25,210,12.08,230,14.99,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
11/16/2007,34,51.1,0,0,0,6.26,290,17,320,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11/19/2007,46,61,0,0,0,3.13,10,8.95,40,12.97,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
11/21/2007,46.9,78.1,0,0,0,7.61,230,21.03,220,25.05,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11/25/2007,36,48.9,0.06,0,0,3.13,90,10.07,100,14.99,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
11/29/2007,36,63,0,0,0,3.36,260,12.08,230,14.09,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/2/2007,33.1,54,0,0,0,5.82,230,14.99,220,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/4/2007,36,45,0,0,0,5.82,270,16.11,280,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/13/2007,54,75.9,0.01,0,0,9.17,220,23.94,230,29.08,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
12/17/2007,28,44.1,0,0,0,6.26,270,14.99,280,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/23/2007,46.9,66.9,0.16,0,0,10.74,220,25.05,220,29.97,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
12/27/2007,36,57.9,0,0,0,3.58,220,14.09,220,16.11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/3/2008,19.9,35.1,0,0,0,4.47,330,12.08,310,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/8/2008,50,73,0,0,0,8.5,210,16.11,210,21.03,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/11/2008,48.9,68,0,0,0,13.42,220,29.97,220,38.03,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
